incident_name,incident_dateonly_created,incident_county,incident_acres_burned,incident_latitude,incident_longitude,MONTH_fire,DAY_OF_WEEK_fire,SEASON_fire,FIRE_SIZE_CAT,DATE,TAVG,TMAX,TMIN,AWND,PRCP,TAVG_CAT,TMAX_CAT,TMIN_CAT,PRCP_CAT,MONTH_weather,DAY_OF_WEEK_weather,SEASON_weather
Red Fire ,2020-04-23,Tehama,26.0,40.09554,-122.43905,4,3,Spring,Small,2020-04-23,,32.2,15.0,1.8,0.0,Unknown,High,Medium,Dry,4,3,Spring
Bar Fire,2020-04-25,Trinity,55.0,40.63442,-122.97693,4,5,Spring,Medium,2020-04-25,,,,,0.0,Unknown,,,Dry,4,5,Spring
Byron Fire,2020-04-27,Contra Costa,47.0,37.82066,-121.595225,4,0,Spring,Medium,2020-04-27,,23.9,17.2,2.3,0.0,Unknown,Medium,High,Dry,4,0,Spring
Interstate 5 Fire,2020-05-03,Kings,2060.0,36.075003,-120.106407,5,6,Spring,Large,2020-05-03,,26.1,16.1,1.7,0.0,Unknown,Medium,Medium,Dry,5,6,Spring
Hollister Fire,2020-05-07,Santa Barbara,156.0,34.47438,-120.29379,5,3,Spring,Large,2020-05-07,,,,,0.0,Unknown,,,Dry,5,3,Spring
Candy Fire,2020-05-08,Butte,17.0,39.42208,-121.47273,5,4,Spring,Small,2020-05-08,,,,,0.0,Unknown,,,Dry,5,4,Spring
Gilman Fire,2020-05-18,Riverside,20.0,33.861054,-117.024114,5,0,Spring,Small,2020-05-18,,,,,0.5,Unknown,,,Dry,5,0,Spring
Acres Fire,2020-05-21,Madera,152.0,37.11715,-119.982359,5,3,Spring,Medium,2020-05-21,,,,,0.0,Unknown,,,Dry,5,3,Spring
Spanish Fire ,2020-05-22,Napa,20.0,38.697834,-122.403634,5,4,Spring,Small,2020-05-22,,,,,0.0,Unknown,,,Dry,5,4,Spring
Range Fire,2020-05-27,San Luis Obispo,5000.0,35.34237,-120.70524,5,2,Spring,Large,2020-05-27,,,,,0.0,Unknown,,,Dry,5,2,Spring
Harley Fire,2020-05-28,Riverside,60.0,33.83167,-117.34934,5,3,Spring,Medium,2020-05-28,,22.2,17.2,2.1,0.0,Unknown,Medium,High,Dry,5,3,Spring
Creek Fire,2020-05-30,Contra Costa,60.0,35.9994,-86.8616,5,5,Spring,Medium,2020-05-30,,25.0,17.8,2.4,0.0,Unknown,Medium,High,Dry,5,5,Spring
Scorpion Fire,2020-05-31,Santa Barbara,1395.0,34.01389,-119.74577,5,6,Spring,Large,2020-05-31,,,,,0.0,Unknown,,,Dry,5,6,Spring
Acres Fire,2020-06-01,Madera,237.0,37.11806,-119.93221,6,0,Summer,Large,2020-06-01,,31.1,16.7,1.8,0.0,Unknown,High,Medium,Dry,6,0,Summer
Amoruso Fire,2020-06-01,Placer,670.0,38.824371,-121.390862,6,0,Summer,Large,2020-06-01,,31.1,16.7,1.8,0.0,Unknown,High,Medium,Dry,6,0,Summer
Nash Fire,2020-06-01,Mendocino,10.0,39.1296,-123.48018,6,0,Summer,Small,2020-06-01,,31.1,16.7,1.8,0.0,Unknown,High,Medium,Dry,6,0,Summer
Horn Fire ,2020-06-02,Lassen,37.0,40.809323,-120.288882,6,1,Summer,Medium,2020-06-02,,28.9,17.8,1.6,0.0,Unknown,High,High,Dry,6,1,Summer
Smoketree Fire,2020-06-02,Riverside,129.0,33.782532,-116.524014,6,1,Summer,Medium,2020-06-02,,28.9,17.8,1.6,0.0,Unknown,High,High,Dry,6,1,Summer
Wildlife Fire,2020-06-03,Solano,300.0,38.232281,-122.042199,6,2,Summer,Large,2020-06-03,,34.4,18.3,1.8,0.0,Unknown,High,High,Dry,6,2,Summer
Silver Fire,2020-06-04,Santa Clara,19.0,37.329163,-121.726223,6,3,Summer,Small,2020-06-04,,22.2,17.8,3.1,0.0,Unknown,Medium,High,Dry,6,3,Summer
Brock Fire,2020-06-04,Shasta,15.0,40.837885,-122.097933,6,3,Summer,Small,2020-06-04,,22.2,17.8,3.1,0.0,Unknown,Medium,High,Dry,6,3,Summer
Colleen Fire,2020-06-04,Santa Clara,126.0,37.229703,-121.851895,6,3,Summer,Medium,2020-06-04,,22.2,17.8,3.1,0.0,Unknown,Medium,High,Dry,6,3,Summer
Karchner Fire,2020-06-05,Placer,39.0,38.98487,-121.340239,6,4,Summer,Medium,2020-06-05,,22.2,17.8,1.9,0.0,Unknown,Medium,High,Dry,6,4,Summer
Lakeville Fire,2020-06-05,Sonoma,141.0,38.224849,-122.549816,6,4,Summer,Medium,2020-06-05,,22.2,17.8,1.9,0.0,Unknown,Medium,High,Dry,6,4,Summer
McGary Fire ,2020-06-05,Solano,79.0,38.196893,-122.156313,6,4,Summer,Medium,2020-06-05,,22.2,17.8,1.9,0.0,Unknown,Medium,High,Dry,6,4,Summer
