DATE,TAVG,TMAX,TMIN,AWND,PRCP
4/29/2020,,,,,0.0
5/18/2020,,,,,0.5
6/6/2020,,,,,1.0
6/28/2020,,,,,0.0
6/29/2020,,,,,0.0
7/1/2020,,,,,0.0
7/22/2020,,,,,0.0
8/2/2020,,,,,0.0
8/22/2020,,,,,0.0
12/18/2020,,,,,0.5
12/25/2020,,,,,0.5
12/28/2020,,,,,8.4
12/29/2020,,,,,13.7
1/23/2021,,,,,1.5
1/24/2021,,,,,9.1
1/25/2021,,,,,7.4
1/29/2021,,,,,15.2
1/30/2021,,,,,2.8
2/12/2021,,,,,0.3
3/4/2021,,,,,8.6
3/8/2021,,,,,0.0
3/11/2021,,,,,5.3
3/16/2021,,,,,3.8
4/13/2021,,,,,0.0
4/26/2021,,,,,1.5
5/17/2021,,,,,2.0
6/8/2021,,,,,0.3
7/27/2021,,,,,2.0
8/11/2021,,,,,0.5
8/22/2021,,,,,0.5
8/29/2021,,,,,0.3
9/25/2021,,,,,0.5
9/26/2021,,,,,0.0
9/27/2021,,,,,0.0
10/5/2021,,,,,6.4
10/7/2021,,,,,1.0
10/8/2021,,,,,1.3
10/18/2021,,,,,0.8
10/23/2021,,,,,0.8
10/25/2021,,,,,0.3
11/5/2021,,,,,0.3
11/30/2021,,,,,0.0
12/7/2021,,,,,0.3
12/9/2021,,,,,0.5
12/10/2021,,,,,1.0
12/14/2021,,,,,1.5
12/15/2021,,,,,38.6
12/24/2021,,,,,29.5
12/25/2021,,,,,5.6
12/28/2021,,,,,0.5
12/29/2021,,,,,1.0
12/30/2021,,,,,4.8
1/1/2022,,,,,0.3
1/8/2022,,,,,0.3
1/15/2022,,,,,0.0
2/16/2022,,,,,1.5
2/22/2022,,,,,0.5
2/23/2022,,,,,3.0
3/20/2022,,,,,7.6
3/29/2022,,,,,12.4
4/22/2022,,,,,1.0
5/20/2022,,,,,0.0
5/21/2022,,,,,0.3
5/28/2022,,,,,0.0
6/13/2022,,,,,0.3
9/10/2022,,,,,3.0
10/15/2022,,,,,3.6
10/16/2022,,,,,8.1
11/2/2022,,,,,1.3
11/7/2022,,,,,0.3
11/8/2022,,,,,4.8
11/9/2022,,,,,16.0
12/5/2022,,,,,1.3
12/7/2022,,,,,6.1
12/11/2022,,,,,7.6
12/12/2022,,,,,16.5
12/28/2022,,,,,13.7
12/29/2022,,,,,0.3
12/30/2022,,,,,1.0
12/31/2022,,,,,0.8
1/1/2023,,,,,24.1
1/3/2023,,,,,3.8
1/4/2023,,,,,2.3
1/5/2023,,,,,6.6
1/6/2023,,,,,8.4
1/10/2023,,,,,14.7
1/11/2023,,,,,9.1
1/15/2023,,,,,27.4
1/16/2023,,,,,15.5
1/17/2023,,,,,4.8
1/20/2023,,,,,1.0
1/30/2023,,,,,4.8
1/31/2023,,,,,4.1
2/5/2023,,,,,0.5
2/23/2023,,,,,2.5
2/24/2023,,,,,5.8
2/25/2023,,,,,47.0
2/26/2023,,,,,13.7
2/28/2023,,,,,2.5
3/1/2023,,,,,8.6
3/2/2023,,,,,2.5
3/6/2023,,,,,0.8
3/10/2023,,,,,0.3
3/11/2023,,,,,16.0
3/12/2023,,,,,0.8
3/15/2023,,,,,57.4
3/16/2023,,,,,2.8
3/20/2023,,,,,1.5
3/21/2023,,,,,15.5
3/22/2023,,,,,17.5
3/23/2023,,,,,4.8
3/29/2023,,,,,1.0
3/30/2023,,,,,15.5
3/31/2023,,,,,2.8
4/9/2023,,,,,0.0
4/10/2023,,,,,0.0
4/12/2023,,,,,0.0
4/13/2023,,,,,4.1
4/30/2023,,,,,0.0
5/1/2023,,,,,3.0
5/4/2023,,,,,8.6
5/5/2023,,,,,2.0
5/14/2023,,,,,0.0
5/21/2023,,,,,0.0
5/23/2023,,,,,0.3
5/24/2023,,,,,1.3
5/30/2023,,,,,0.8
6/1/2023,,,,,0.0
6/5/2023,,,,,0.0
6/12/2023,,,,,1.3
6/15/2023,,,,,0.8
6/16/2023,,,,,0.0
8/10/2023,,,,,0.5
8/16/2023,,,,,1.3
8/20/2023,,,,,5.1
8/21/2023,,,,,57.2
9/2/2023,,,,,0.0
9/3/2023,,,,,0.5
9/10/2023,,,,,0.3
9/11/2023,,,,,0.3
9/17/2023,,,,,0.0
10/2/2023,,,,,0.8
10/23/2023,,,,,0.0
11/16/2023,,,,,10.7
11/18/2023,,,,,1.0
11/19/2023,,,,,1.8
11/30/2023,,,,,0.0
12/1/2023,,,,,1.8
12/19/2023,,,,,0.0
12/20/2023,,,,,4.1
12/21/2023,,,,,3.3
12/22/2023,,,,,18.5
12/24/2023,,,,,1.8
12/30/2023,,,,,9.1
12/31/2023,,,,,4.6
1/3/2024,,,,,3.8
1/21/2024,,,,,16.0
1/22/2024,,,,,4.8
1/23/2024,,,,,10.7
2/1/2024,,,,,6.1
2/2/2024,,,,,25.7
2/4/2024,,,,,1.0
2/5/2024,,,,,37.1
2/6/2024,,,,,30.0
2/7/2024,,,,,27.2
2/8/2024,,,,,8.9
2/9/2024,,,,,1.8
2/16/2024,,,,,0.8
2/18/2024,,,,,0.5
2/20/2024,,,,,8.9
2/21/2024,,,,,19.3
3/2/2024,,,,,2.5
3/3/2024,,,,,3.6
3/7/2024,,,,,14.7
3/24/2024,,,,,3.0
3/25/2024,,,,,0.3
3/30/2024,,,,,15.5
3/31/2024,,,,,16.5
4/1/2024,,,,,8.6
4/5/2024,,,,,3.6
4/22/2024,,,,,0.0
5/3/2024,,,,,0.0
5/5/2024,,,,,0.8
5/13/2024,,,,,0.0
5/15/2024,,,,,0.0
5/16/2024,,,,,0.8
5/31/2024,,,,,0.0
6/2/2024,,,,,0.5
6/3/2024,,,,,0.0
6/7/2024,,,,,0.5
6/12/2024,,,,,0.0
7/12/2024,,,,,0.0
9/20/2024,,,,,0.5
10/26/2024,,,,,0.0
10/28/2024,,,,,0.0
11/3/2024,,,,,0.3
11/24/2024,,,,,0.5
12/25/2024,,,,,0.5
1/26/2025,,,,,4.3
1/27/2025,,,,,10.2
2/5/2025,,,,,0.5
2/6/2025,,,,,0.5
2/7/2025,,,,,4.6
2/8/2025,,,,,0.8
2/12/2025,,,,,0.8
2/13/2025,,,,,11.2
2/14/2025,,,,,36.3
3/6/2025,,,,,10.2
3/7/2025,,,,,6.4
3/11/2025,,,,,0.5
3/13/2025,,,,,22.9
3/14/2025,,,,,5.1
3/15/2025,,,,,2.5
3/30/2025,,,,,0.0
3/31/2025,,,,,1.3
4/27/2025,,,,,3.0
5/3/2025,,,,,0.8
5/4/2025,,,,,0.0
6/1/2025,,,,,0.0
6/4/2025,,,,,1.3
6/5/2025,,,,,0.0
6/13/2025,,,,,0.0
7/18/2025,,,,,0.3
7/22/2025,,,,,1.3
8/16/2025,,,,,0.3
9/18/2025,,,,,1.5
9/22/2025,,,,,0.3
9/26/2025,,,,,0.0
10/15/2025,,,,,22.9
11/14/2025,,,,,0.5
11/15/2025,,,,,15.7
11/16/2025,,,,,42.7
11/17/2025,,,,,6.1
11/18/2025,,,,,5.8
11/21/2025,,,,,13.0
12/24/2025,,,,,1.0
12/25/2025,,,,,29.0
12/27/2025,,,,,8.6
1/1/2026,,,,,16.3
1/2/2026,,,,,1.5
1/4/2026,,,,,6.1
1/5/2026,,,,,6.6
1/6/2026,,,,,0.5
2/11/2026,,,,,16.5
2/17/2026,,,,,37.1
2/18/2026,,,,,6.6
2/20/2026,,,,,6.9
4/1/2026,,,,,0.8
4/11/2026,,,,,1.0
4/13/2026,,,,,1.3
4/15/2020,,27.2,13.3,2.2,0.0
4/16/2020,,22.2,14.4,2.8,0.0
4/17/2020,,21.1,15.0,3.4,0.0
4/18/2020,,21.1,16.7,2.3,0.0
4/19/2020,,21.1,16.1,2.3,0.0
4/20/2020,,21.7,16.7,2.1,0.0
4/21/2020,,22.2,16.1,2.4,0.0
4/22/2020,,27.8,15.0,2.2,0.0
4/23/2020,,31.1,17.2,2.6,0.0
4/24/2020,,35.0,18.3,2.2,0.0
4/25/2020,,29.4,17.8,2.1,0.0
4/26/2020,,27.8,16.7,2.4,0.0
4/27/2020,,23.9,17.2,2.3,0.0
4/28/2020,,25.6,18.3,2.6,0.0
4/29/2020,,23.9,18.3,2.4,0.0
4/30/2020,,23.9,18.3,2.2,0.0
5/1/2020,,24.4,19.4,2.6,0.0
5/2/2020,,26.7,17.8,2.3,0.0
5/3/2020,,25.0,17.2,2.6,0.0
5/4/2020,,27.2,17.8,2.1,0.0
5/5/2020,,30.0,18.3,1.9,0.0
5/6/2020,,33.3,18.3,2.2,0.0
5/7/2020,,30.0,20.0,2.6,0.0
5/8/2020,,26.1,19.4,2.9,0.0
5/9/2020,,25.6,18.3,2.5,0.0
5/10/2020,,26.1,19.4,2.2,0.0
5/11/2020,,25.0,18.3,2.5,0.0
5/12/2020,,25.0,17.2,3.0,0.0
5/13/2020,,23.9,17.8,2.7,0.0
5/14/2020,,25.6,17.8,2.9,0.0
5/15/2020,,26.1,18.3,2.6,0.0
5/16/2020,,26.7,18.9,2.6,0.0
5/17/2020,,26.1,19.4,3.0,0.0
5/18/2020,,22.8,17.2,2.8,0.3
5/19/2020,,21.7,15.0,2.7,0.0
5/20/2020,,23.3,15.0,2.5,0.0
5/21/2020,,26.7,15.6,1.8,0.0
5/22/2020,,24.4,16.1,3.8,0.0
5/23/2020,,22.8,17.2,3.1,0.0
5/24/2020,,23.9,16.7,2.1,0.0
5/25/2020,,26.1,16.7,2.4,0.0
5/26/2020,,26.1,17.2,2.2,0.0
5/27/2020,,25.0,16.1,2.6,0.0
5/28/2020,,23.3,17.2,2.6,0.0
5/29/2020,,22.8,17.2,2.6,0.0
5/30/2020,,25.0,17.8,2.4,0.0
5/31/2020,,25.6,17.2,1.7,0.0
6/1/2020,,27.8,17.2,2.0,0.0
6/2/2020,,26.7,17.8,2.1,0.0
6/3/2020,,31.1,18.3,2.6,0.0
6/4/2020,,22.2,17.8,3.1,0.0
6/5/2020,,22.2,17.8,3.0,0.3
6/6/2020,,23.3,17.8,2.6,0.0
6/7/2020,,24.4,17.2,3.0,0.0
6/8/2020,,33.9,15.0,3.7,0.0
6/9/2020,,35.6,17.8,1.9,0.0
6/10/2020,,33.3,19.4,2.3,0.0
6/11/2020,,29.4,18.3,3.1,0.0
6/12/2020,,23.9,17.2,3.0,0.0
6/13/2020,,24.4,16.7,2.6,0.0
6/14/2020,,24.4,17.2,2.6,0.0
6/15/2020,,23.9,17.2,3.6,0.0
6/16/2020,,23.9,18.3,2.9,0.0
6/17/2020,,22.8,16.7,3.7,0.0
6/18/2020,,22.8,16.7,3.0,0.0
6/19/2020,,24.4,18.3,2.5,0.0
6/20/2020,,25.0,18.9,2.3,0.0
6/21/2020,,24.4,18.9,2.2,0.0
6/22/2020,,24.4,18.3,2.1,0.0
6/23/2020,,24.4,17.8,2.2,0.0
6/24/2020,,24.4,18.3,2.5,0.0
6/25/2020,,23.9,17.8,2.4,0.0
6/26/2020,,25.0,18.3,2.3,0.0
6/27/2020,,24.4,18.9,3.2,0.0
6/28/2020,,22.8,18.3,3.6,0.0
6/29/2020,,23.9,17.2,3.0,0.0
6/30/2020,,24.4,18.3,2.2,0.0
7/1/2020,,23.3,18.3,2.7,0.0
7/2/2020,,25.0,18.3,2.3,0.0
7/3/2020,,26.7,17.2,2.2,0.0
7/4/2020,,27.8,18.3,2.3,0.0
7/5/2020,,29.4,18.3,2.2,0.0
7/6/2020,,28.3,17.8,2.7,0.0
7/7/2020,,26.1,18.3,3.0,0.0
7/8/2020,,25.0,18.3,2.9,0.0
7/9/2020,,26.1,18.9,2.2,0.0
7/10/2020,,28.9,20.0,2.5,0.0
7/11/2020,,32.8,20.0,2.4,0.0
