incident_name,incident_dateonly_created,incident_county,incident_acres_burned,incident_latitude,incident_longitude,MONTH,DAY_OF_WEEK,SEASON,FIRE_SIZE_CAT
 Bridge Fire,2017-10-31,Shasta,37.0,40.774,-122.309,10,1,Fall,Medium
Pala Fire,2009-05-24,San Diego,122.0,1.0,1.0,5,6,Spring,Medium
River Fire,2013-02-24,Inyo,407.0,36.602575,-118.01651,2,6,Winter,Large
Fawnskin Fire,2013-04-20,San Bernardino,30.0,34.288877,-116.941311,4,5,Spring,Small
Gold Fire,2013-04-30,Madera,274.0,37.116295,-119.635004,4,1,Spring,Large
Panther Fire,2013-05-01,Tehama,6896.0,40.190062,-121.595555,5,2,Spring,Large
Silverado Fire,2013-04-30,Napa,75.0,38.441792,-122.350844,4,1,Spring,Medium
Yellow Fire,2013-05-01,Sonoma,125.0,38.638828,-122.655616,5,2,Spring,Medium
Summit Fire,2013-05-01,Riverside,2956.0,34.288877,-116.941311,5,2,Spring,Large
Tres Pinos Fire,2013-05-03,San Benito,354.0,37.160346,-120.937494,5,4,Spring,Large
306 Fire,2013-05-01,Glenn,217.0,39.514139,-122.560862,5,2,Spring,Large
Lytle Fire,2013-05-13,San Bernardino,75.0,34.1834,-117.4408,5,0,Spring,Medium
Gorgonio Fire,2013-05-04,Riverside,650.0,33.894055,-116.855019,5,5,Spring,Large
Grand Fire,2013-05-15,"Kern, Ventura",4346.0,34.7861,-118.9411,5,2,Spring,Large
54 Fire,2013-05-16,Riverside,40.0,33.655638,-116.161201,5,3,Spring,Medium
Lake Fire,2013-05-17,Los Angeles,712.0,34.49149,-118.610044,5,4,Spring,Large
Lilly 2 Fire,2013-05-19,Madera,91.0,37.1927,-119.7917,5,6,Spring,Medium
Cottontail Fire,2013-05-20,San Luis Obispo,35.0,35.49864,-120.91375,5,0,Spring,Small
Cherry Fire,2013-05-20,Riverside,25.0,33.96201,-116.907213,5,0,Spring,Small
Water Fire,2013-05-21,Riverside,90.0,33.9582,-116.6534,5,1,Spring,Medium
Shelton Fire,2013-05-30,San Joaquin,303.0,38.04993,-120.90325,5,3,Spring,Large
Border Fire,2013-05-22,San Diego,100.0,32.564465,-116.900368,5,2,Spring,Medium
San Felipe Fire,2013-05-23,San Diego,2650.0,33.12111,-116.52579,5,3,Spring,Large
