STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,DAPR,DAPR_ATTRIBUTES,MDPR,MDPR_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT07,WT07_ATTRIBUTES,WT08,WT08_ATTRIBUTES,WT10,WT10_ATTRIBUTES
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,4/29/2020,,,,,,,,,0,"T,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,5/18/2020,,,,,,,,,0.5,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,6/6/2020,,,,,,,,,1,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,6/28/2020,,,,,,,,,0,"T,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,6/29/2020,,,,,,,,,0,"T,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,7/1/2020,,,,,,,,,0,"T,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,7/22/2020,,,,,,,,,0,"T,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,8/2/2020,,,,,,,,,0,"T,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,8/22/2020,,,,,,,,,0,"T,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1CAOR0079,"NEWPORT BEACH 1.2 E, CA US",33.6131,-117.8883,27.4,12/18/2020,,,,,,,,,0.5,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
